"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"1400000US22015011109","Census Tract 111.09, Bossier Parish, Louisiana","8439","831","6631","815","1276","357","0","18","135","123","0","18","16","33","381","218","25","43","356","210"
"1400000US22015011110","Census Tract 111.10, Bossier Parish, Louisiana","8176","648","6592","623","1035","316","3","6","201","151","0","18","37","56","308","192","53","73","255","178"
"1400000US22015011200","Census Tract 112, Bossier Parish, Louisiana","4674","528","3297","511","1311","354","33","54","7","13","0","13","13","17","13","22","13","22","0","13"
"1400000US22015011300","Census Tract 113, Bossier Parish, Louisiana","1508","311","260","94","1171","301","29","31","0","13","0","13","0","13","48","50","0","13","48","50"
"1400000US22017020500","Census Tract 205, Caddo Parish, Louisiana","3190","388","157","101","3023","394","0","13","0","13","0","13","0","13","10","15","0","13","10","15"
"1400000US22017020600","Census Tract 206, Caddo Parish, Louisiana","783","210","14","27","765","195","0","13","0","13","0","13","0","13","4","7","0","13","4","7"
"1400000US22017020700","Census Tract 207, Caddo Parish, Louisiana","644","141","9","14","635","141","0","13","0","13","0","13","0","13","0","13","0","13","0","13"
"1400000US22017021000","Census Tract 210, Caddo Parish, Louisiana","1817","253","838","129","783","213","0","13","75","93","0","13","39","35","82","89","21","25","61","67"
"1400000US22017021100","Census Tract 211, Caddo Parish, Louisiana","2321","392","826","199","1339","346","17","27","0","13","0","13","123","178","16","25","16","25","0","13"
"1400000US22017021200","Census Tract 212, Caddo Parish, Louisiana","3661","424","2072","291","1246","297","0","13","71","77","10","16","61","97","201","123","64","95","137","84"
